batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Jake Burger,669394,39,0.18704530769230768,0.1800875,0.3081750000000001,81.64999999999999,0.07692307692307693,-0.6485157954008139
Jake Cronenworth,630105,64,0.30528083431952663,0.378625,0.5744615384615385,86.1842105263158,0.109375,0.35673178999627475
Jake Mangum,663968,89,0.2695373790334798,0.274230006148801,0.4688509940561591,81.07000000000001,0.056179775280898875,-0.2503503728694437
Jake McCarthy,664983,64,0.32974358974358975,0.31056410256410255,0.6142820512820512,77.54642857142858,0.046875,-0.04015323887046443
Jake Meyers,676694,23,0.1436424285714286,0.059399999999999994,0.0912,78.9375,0.0,-1.379722001850693
Jake Rogers,668670,12,0.08625,0.2,0.22049999999999997,79.46666666666665,0.0,-1.350687091867196
Jakob Marsee,805300,87,0.287839989769821,0.2270032169117647,0.44478940716911763,78.17058823529412,0.05747126436781609,-0.3255542459080807
James McCann,543510,66,0.27329012345679016,0.3208983855650522,0.5198594491927826,80.84736842105262,0.07575757575757576,-0.10561207674167157
James Outman,681546,80,0.1967939411764706,0.1892887931034483,0.5639698275862068,82.2909090909091,0.0625,-0.4523680133798449
James Wood,695578,78,0.5535207806637806,0.5257877886002886,1.348684163059163,91.83913043478262,0.1282051282051282,2.118365801740071
Jared Triolo,669707,92,0.208785864764268,0.2558235294117647,0.3782049335863378,83.84814814814816,0.06521739130434782,-0.4309235103037129
Jared Young,676724,4,0.0,0.3088236077868225,0.5274441007943793,89.9,0.0,-1.0324345066555414
Jarren Duran,680776,75,0.2470453941093969,0.25346658986175113,0.441044930875576,73.93928571428572,0.05333333333333334,-0.5842146305643996
Javier Báez,595879,70,0.20950240384615385,0.3030346153846154,0.4741846153846153,75.66333333333334,0.05714285714285714,-0.5856313649405813
Javier Sanoja,691594,31,0.19392890000000002,0.15925,0.179375,82.61538461538461,0.06451612903225806,-0.7447898541698493
Jazz Chisholm Jr.,665862,56,0.2959286975308642,0.2661386574074074,0.48324884259259254,90.62352941176471,0.125,0.3427204271919959
Jeff McNeil,643446,64,0.3812117944862155,0.42451648351648347,0.613956043956044,80.28260869565217,0.109375,0.5142552176403491
Jerar Encarnacion,666464,6,0.178,0.1355,0.299,87.8,0.0,-0.7877527797319774
Jeremiah Jackson,669236,49,0.18995716666666665,0.20446666666666669,0.49733333333333335,89.1875,0.061224489795918366,-0.3118628245401073
Jesús Sánchez,660821,66,0.1835904761904762,0.29438690476190477,0.5191041666666667,78.66,0.015151515151515152,-0.6960763911632938
Jhonkensy Noel,678877,41,0.25682545757575753,0.2549621212121212,0.89725,93.38333333333333,0.07317073170731707,0.40783175497056323
Jimmy Crooks,699625,48,0.361085020242915,0.5014736842105263,0.892638157894737,82.77000000000001,0.08333333333333333,0.698692050072284
Jo Adell,666176,84,0.2892880381192881,0.2877671929377812,0.6836694041252865,85.13125,0.13095238095238096,0.33796659919951905
Joc Pederson,592626,55,0.1910998,0.2657777777777778,0.31122222222222223,80.55625,0.05454545454545454,-0.6615779196026007
