pitcher,pitcher_id,bf,xwoba_allowed,woba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score
Taijuan Walker,592836,62,0.3094658666666667,0.33,0.41650000000000004,87.61538461538461,0.11290322580645161,0.08064516129032258,0.06451612903225806,-0.17928512286609372
Taj Bradley,671737,90,0.1950539138755981,0.2113636363636364,0.4592334928229665,83.02333333333333,0.07777777777777778,0.1,0.022222222222222223,0.581349867904483
Tanner Banks,621383,19,0.11075,0.22000000000000003,0.26066666666666666,74.35000000000001,0.0,0.10526315789473684,0.0,1.4382601157087036
Tanner Bibee,676440,105,0.32220808333333334,0.24583333333333335,0.46847058823529414,84.03636363636363,0.05714285714285714,0.047619047619047616,0.01904761904761905,-0.11131176298923426
Tanner Gordon,685299,70,0.4944078670688579,0.6736842105263158,0.9544037593324551,80.49666666666667,0.1,0.04285714285714286,0.014285714285714285,-1.0092668884928195
Tanner Rainey,663432,29,0.21907100000000002,0.09999999999999999,0.27825,82.37777777777778,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.5177846893847158
Tanner Scott,656945,62,0.34375625,0.3464285714285714,0.4278571428571429,81.8,0.06451612903225806,0.04838709677419355,0.06451612903225806,-0.23543816080925595
Tarik Skubal,669373,93,0.19219526086956523,0.28958333333333336,0.23684615384615382,76.45185185185184,0.06451612903225806,0.08602150537634409,0.03225806451612903,0.7895721040677811
Taylor Clarke,664199,35,0.18361077777777776,0.31666666666666665,0.2404,89.0375,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.5650650512402202
Taylor Rashi,688497,67,0.24046407142857143,0.1142857142857143,0.5601666666666666,79.49411764705883,0.029850746268656716,0.1044776119402985,0.014925373134328358,0.6036755921783156
Taylor Rogers,573124,35,0.3821504603174603,0.31666666666666665,0.6073809523809525,91.5909090909091,0.17142857142857143,0.05714285714285714,0.02857142857142857,-0.8036895013275884
Tim Herrin,682120,35,0.34503537500000003,0.26249999999999996,0.20900000000000002,79.74285714285715,0.05714285714285714,0.02857142857142857,0.08571428571428572,-0.2150302579255217
Tim Hill,657612,18,0.24,0.15,0.3374,97.02000000000001,0.16666666666666666,0.05555555555555555,0.0,-0.2155069728878471
Tim Mayza,641835,21,0.23650000000000002,0.15,0.43174999999999997,79.28333333333333,0.09523809523809523,0.09523809523809523,0.0,0.5214103012474546
